County,Population,Year
Saratoga,230163,2018
Schenectady,155350,2018
Schoharie,31097,2018
Schuyler,17912,2018
Seneca,34300,2018
Steuben,95796,2018
Suffolk,1481093,2018
Sullivan,75498,2018
Tioga,48560,2018
Tompkins,102793,2018
Ulster,178599,2018
Warren,64265,2018
Washington,61197,2018
Wayne,90064,2018
Westchester,967612,2018
Wyoming,40085,2018
Yates,24841,2018
